0x004378d0	FUN_004378d0	ObjectManager_FindObjectByNetId
0x004375b0	FUN_004375b0	ObjectManager_FindObjectByName
0x004375e0	FUN_004375e0	ObjectManager_FindObjectByNameHash
0x004376c0	FUN_004376c0	ObjectManager_CollectObjectsByNameHash
0x00438050	FUN_00438050	ObjectManager_CollectControllableObjects
0x00438540	FUN_00438540	ObjectManager_CollectObjectsByTypeId
0x00439630	FUN_00439630	ObjectManager_CollectSpatialBucketsAroundPoint
0x00438a00	FUN_00438a00	ObjectManager_CollectObjectsInRadius
0x004362d0	FUN_004362d0	ObjectManager_AddToMasterObjectList
0x0043af80	FUN_0043af80	ObjectManager_InsertObjectIntoSpatialGrid
0x004362b0	FUN_004362b0	ObjectManager_RegisterObject
0x0043b060	Object_Manager::FUN_0043b060	ObjectManager_RemoveObjectFromSpatialGrid
0x0043b940	FUN_0043b940	ObjectManager_SelectObjectAndFocus
0x0043e8f0	Object_Manager::FUN_0043e8f0	ObjectManager_HandleCreateObjectRequest
0x0043ed20	FUN_0043ed20	ObjectManager_HandleSpawnAuxObjectRequest
0x0043eec0	FUN_0043eec0	ObjectManager_HandleAttachOrEquipRequest
0x0043f0a0	Object_Manager::FUN_0043f0a0	ObjectManager_SpawnWorldParticleEffect
0x0043f200	FUN_0043f200	ObjectManager_SpawnAttachedParticleEffect
0x0043f530	FUN_0043f530	ObjectManager_SpawnGibEffect
0x00440a50	FUN_00440a50	ObjectManager_HandleDestroyObjectRequest
0x00440aa0	FUN_00440aa0	ObjectManager_HandleUnregisterObjectRequest
0x00441280	FUN_00441280	ObjectManager_HandleSetObjectTransformRequest
0x004413b0	FUN_004413b0	ObjectManager_HandleAssignControllerRequest
0x004414b0	FUN_004414b0	ObjectManager_HandleTransferAttachmentRequest
0x00441680	FUN_00441680	ObjectManager_HandleSetBipedStateRequest
0x00441950	FUN_00441950	ObjectManager_HandleTacticalEventRequest
0x004419d0	FUN_004419d0	ObjectManager_HandleSetTimedStatusRequest
0x00441a60	FUN_00441a60	ObjectManager_HandleCustomObjectPayload
